age,sex,educd,race,n
2,male,n/a,white,11534
2,male,n/a,black/african american/negro,1552
2,male,n/a,american indian or alaska native,235
2,male,n/a,chinese,170
2,male,n/a,japanese,14
2,male,n/a,other asian or pacific islander,678
2,male,n/a,"other race, nec",743
2,male,n/a,two major races,1127
2,male,n/a,three or more major races,149
2,female,n/a,white,11168
2,female,n/a,black/african american/negro,1501
2,female,n/a,american indian or alaska native,166
2,female,n/a,chinese,168
2,female,n/a,japanese,22
2,female,n/a,other asian or pacific islander,579
2,female,n/a,"other race, nec",690
2,female,n/a,two major races,1161
2,female,n/a,three or more major races,154
3,male,n/a,white,11941
3,male,n/a,black/african american/negro,1518
3,male,n/a,american indian or alaska native,210
3,male,n/a,chinese,185
3,male,n/a,japanese,24
3,male,n/a,other asian or pacific islander,685
3,male,n/a,"other race, nec",800
3,male,n/a,two major races,1082
3,male,n/a,three or more major races,168
3,female,n/a,white,11738
3,female,n/a,black/african american/negro,1471
3,female,n/a,american indian or alaska native,223
3,female,n/a,chinese,149
3,female,n/a,japanese,23
3,female,n/a,other asian or pacific islander,632
3,female,n/a,"other race, nec",748
3,female,n/a,two major races,1131
3,female,n/a,three or more major races,168
4,male,no schooling completed,white,9517
4,male,no schooling completed,black/african american/negro,1291
4,male,no schooling completed,american indian or alaska native,162
4,male,no schooling completed,chinese,111
4,male,no schooling completed,japanese,14
4,male,no schooling completed,other asian or pacific islander,509
4,male,no schooling completed,"other race, nec",677
4,male,no schooling completed,two major races,839
4,male,no schooling completed,three or more major races,148
4,male,"nursery school, preschool",white,2650
4,male,"nursery school, preschool",black/african american/negro,348
4,male,"nursery school, preschool",american indian or alaska native,31
4,male,"nursery school, preschool",chinese,62
4,male,"nursery school, preschool",japanese,6
4,male,"nursery school, preschool",other asian or pacific islander,175
4,male,"nursery school, preschool","other race, nec",78
4,male,"nursery school, preschool",two major races,257
4,male,"nursery school, preschool",three or more major races,34
4,male,kindergarten,white,40
4,male,kindergarten,black/african american/negro,10
4,male,kindergarten,american indian or alaska native,1
4,male,kindergarten,chinese,7
4,male,kindergarten,other asian or pacific islander,2
4,male,kindergarten,"other race, nec",6
4,male,kindergarten,two major races,3
4,female,no schooling completed,white,9028
4,female,no schooling completed,black/african american/negro,1264
4,female,no schooling completed,american indian or alaska native,186
4,female,no schooling completed,chinese,122
4,female,no schooling completed,japanese,20
4,female,no schooling completed,other asian or pacific islander,481
4,female,no schooling completed,"other race, nec",743
4,female,no schooling completed,two major races,851
4,female,no schooling completed,three or more major races,134
4,female,"nursery school, preschool",white,2498
4,female,"nursery school, preschool",black/african american/negro,355
4,female,"nursery school, preschool",american indian or alaska native,33
4,female,"nursery school, preschool",chinese,46
4,female,"nursery school, preschool",japanese,4
4,female,"nursery school, preschool",other asian or pacific islander,166
4,female,"nursery school, preschool","other race, nec",102
4,female,"nursery school, preschool",two major races,293
4,female,"nursery school, preschool",three or more major races,47
4,female,kindergarten,white,41
4,female,kindergarten,black/african american/negro,11
4,female,kindergarten,other asian or pacific islander,3
4,female,kindergarten,"other race, nec",3
4,female,kindergarten,two major races,5
5,male,no schooling completed,white,7430
5,male,no schooling completed,black/african american/negro,1018
5,male,no schooling completed,american indian or alaska native,177
5,male,no schooling completed,chinese,99
5,male,no schooling completed,japanese,16
5,male,no schooling completed,other asian or pacific islander,362
5,male,no schooling completed,"other race, nec",589
5,male,no schooling completed,two major races,631
5,male,no schooling completed,three or more major races,101
5,male,"nursery school, preschool",white,4946
